date,sym,mkt,hml,wml
2024-09-12,JPM,0.9850882,1.126043,0.1834731
2024-09-12,TSLA,2.580609,-0.945696,-1.362607
2024-09-12,XOM,0.519837,0.7532728,-0.151579
2024-09-13,AAPL,0.9385186,-0.3928462,-0.3703107
2024-09-13,JPM,0.9946746,1.1339,0.1742435
2024-09-13,TSLA,2.590595,-0.9371237,-1.369894
2024-09-13,XOM,0.519835,0.753963,-0.1536189
2024-09-16,AAPL,0.8988979,-0.4698822,-0.3659685
2024-09-16,JPM,1.00065,1.145564,0.1731426
2024-09-16,TSLA,2.567553,-0.9770052,-1.361706
2024-09-16,XOM,0.5283398,0.7691564,-0.1568344
2024-09-17,AAPL,0.89935,-0.4669199,-0.3666875
2024-09-17,JPM,1.000607,1.146749,0.1724186
2024-09-17,TSLA,2.567709,-0.9727562,-1.362221
2024-09-17,XOM,0.5296085,0.7770486,-0.1602164
2024-09-18,AAPL,0.883528,-0.4563346,-0.353852
2024-09-18,JPM,1.00637,1.141888,0.1671876
2024-09-18,TSLA,2.563192,-0.9692599,-1.357416
2024-09-18,XOM,0.5268713,0.7781143,-0.1585162
2024-09-19,AAPL,0.9426342,-0.4374878,-0.3450052
2024-09-19,JPM,1.004786,1.14065,0.1660963
2024-09-19,TSLA,2.658367,-0.9393242,-1.344206
2024-09-19,XOM,0.5406217,0.7828518,-0.1548285
2024-09-20,AAPL,0.9456028,-0.4337439,-0.3482522
2024-09-20,JPM,0.9957843,1.129632,0.1755176
2024-09-20,TSLA,2.669741,-0.9220637,-1.356654
2024-09-20,XOM,0.5410787,0.7829493,-0.1555403
2024-09-23,AAPL,0.9194291,-0.4284468,-0.3044687
2024-09-23,JPM,0.9933342,1.129848,0.1793209
2024-09-23,TSLA,2.726263,-0.9343072,-1.453161
2024-09-23,XOM,0.5693359,0.7759344,-0.2044948
2024-09-24,AAPL,0.9162995,-0.4275667,-0.3015148
2024-09-24,JPM,0.9949984,1.122242,0.1740928
2024-09-24,TSLA,2.732787,-0.9378042,-1.45992
2024-09-24,XOM,0.5730588,0.7771467,-0.2068317
2024-09-25,AAPL,0.9199947,-0.4234637,-0.3061097
2024-09-25,JPM,0.9947865,1.121372,0.1734332
2024-09-25,TSLA,2.699803,-0.9627981,-1.413948
2024-09-25,XOM,0.5931174,0.7878137,-0.2390368
2024-09-26,AAPL,0.9205827,-0.4228582,-0.3065665
2024-09-26,JPM,0.9794035,1.112774,0.1922635
2024-09-26,TSLA,2.655601,-0.9857863,-1.35791
2024-09-26,XOM,0.5560773,0.7679166,-0.1906837
2024-09-27,AAPL,0.919257,-0.4224252,-0.3016338
2024-09-27,JPM,0.981607,1.111413,0.1802966
2024-09-27,TSLA,2.665146,-0.9883859,-1.399881
2024-09-27,XOM,0.5765449,0.761609,-0.2787912
2024-09-30,AAPL,0.9273806,-0.3928495,-0.2688874
2024-09-30,JPM,0.9793609,1.104007,0.1721565
2024-09-30,TSLA,2.666228,-0.9827697,-1.395264
2024-09-30,XOM,0.5794571,0.7744939,-0.2612807
2024-10-01,AAPL,0.949087,-0.3725956,-0.2334955
2024-10-01,JPM,0.9899687,1.113435,0.1884588
2024-10-01,TSLA,2.665781,-0.982158,-1.394343
2024-10-01,XOM,0.5562395,0.7529609,-0.2995884
2024-10-02,AAPL,0.9476551,-0.3725363,-0.2306151
2024-10-02,JPM,0.9888412,1.112907,0.1903835
2024-10-02,TSLA,2.678867,-0.9824623,-1.434247
2024-10-02,XOM,0.5501614,0.7532753,-0.2788529
2024-10-03,AAPL,0.9483425,-0.37413,-0.2329975
2024-10-03,JPM,0.9959287,1.091669,0.1598352
2024-10-03,TSLA,2.687415,-1.00938,-1.473177
2024-10-03,XOM,0.5441784,0.7662659,-0.2587672
2024-10-04,AAPL,0.939687,-0.3794616,-0.2316296
2024-10-04,JPM,1.041022,1.122212,0.1532826
2024-10-04,TSLA,2.720379,-0.9889752,-1.47623
2024-10-04,XOM,0.5671984,0.7798152,-0.2614921
2024-10-07,AAPL,0.9665141,-0.3835738,-0.2453361
2024-10-07,JPM,1.03187,1.124068,0.1580326
2024-10-07,TSLA,2.7399,-0.9899426,-1.485197
2024-10-07,XOM,0.5509036,0.7791597,-0.253929
2024-10-08,AAPL,0.9685837,-0.3949885,-0.2261244
2024-10-08,JPM,1.032045,1.125164,0.1556528
2024-10-08,TSLA,2.739457,-0.9894418,-1.484247
2024-10-08,XOM,0.5492092,0.8095444,-0.3023686
2024-10-09,AAPL,0.9899372,-0.3824718,-0.2348718
2024-10-09,JPM,1.036185,1.128068,0.1545714
2024-10-09,TSLA,2.666128,-1.032639,-1.455044
2024-10-09,XOM,0.5373457,0.8062268,-0.2937487
2024-10-10,AAPL,0.9899015,-0.3829721,-0.2338782
2024-10-10,JPM,1.035845,1.127359,0.1562202
2024-10-10,TSLA,2.665543,-1.032893,-1.449443
2024-10-10,XOM,0.5368335,0.8062818,-0.2982005
2024-10-11,AAPL,0.9921364,-0.4101988,-0.2707601
2024-10-11,JPM,1.026214,1.225291,0.2897488
2024-10-11,TSLA,2.690154,-1.300233,-1.809474
2024-10-11,XOM,0.5374731,0.8019668,-0.3013393
2024-10-14,AAPL,1.000544,-0.4110507,-0.2651739
2024-10-14,JPM,1.019679,1.225201,0.2823232
2024-10-14,TSLA,2.687168,-1.299768,-1.814199
2024-10-14,XOM,0.5403633,0.8012777,-0.2993255
2024-10-15,AAPL,0.9421782,-0.3961651,-0.2152814
2024-10-15,JPM,1.003035,1.229086,0.2958729
2024-10-15,TSLA,2.585215,-1.274759,-1.726021
2024-10-15,XOM,0.6197859,0.7809275,-0.3675351
2024-10-16,AAPL,0.9418248,-0.4148384,-0.2328157
2024-10-16,JPM,1.002783,1.219382,0.2870287
2024-10-16,TSLA,2.583163,-1.258129,-1.708698
2024-10-16,XOM,0.6235928,0.7794297,-0.3714194
2024-10-17,AAPL,0.9422148,-0.4141507,-0.2335327
2024-10-17,JPM,1.00338,1.219645,0.2854858
2024-10-17,TSLA,2.57371,-1.264185,-1.706735
2024-10-17,XOM,0.6231068,0.7785893,-0.3674168
2024-10-18,AAPL,0.9430514,-0.4254203,-0.2392183
2024-10-18,JPM,1.005393,1.199395,0.274782
2024-10-18,TSLA,2.566596,-1.219701,-1.681283
2024-10-18,XOM,0.6211966,0.7780557,-0.3662262
2024-10-21,AAPL,0.9394335,-0.4364416,-0.2403635
2024-10-21,JPM,1.001987,1.190241,0.2742995
2024-10-21,TSLA,2.577464,-1.183028,-1.677066
2024-10-21,XOM,0.6110425,0.7466973,-0.3691596
2024-10-22,AAPL,0.9392317,-0.4369393,-0.2398849
2024-10-22,JPM,1.000758,1.185348,0.2735784
2024-10-22,TSLA,2.578478,-1.171748,-1.674573
2024-10-22,XOM,0.6108771,0.7460859,-0.3686607
2024-10-23,AAPL,0.948623,-0.4624279,-0.2430221
2024-10-23,JPM,1.006896,1.167264,0.2711497
2024-10-23,TSLA,2.569617,-1.144115,-1.669117
2024-10-23,XOM,0.6189891,0.7230527,-0.3715419
2024-10-24,AAPL,0.9467021,-0.4551469,-0.2400441
2024-10-24,JPM,1.007394,1.159156,0.2665986
2024-10-24,TSLA,2.596041,-1.359024,-1.794042
2024-10-24,XOM,0.6163405,0.7306792,-0.3693397
2024-10-25,AAPL,0.9488931,-0.4537617,-0.2428653
2024-10-25,JPM,1.003787,1.163115,0.2761843
2024-10-25,TSLA,2.581356,-1.418318,-1.82443
2024-10-25,XOM,0.6098754,0.7152954,-0.3725766
2024-10-28,AAPL,0.9427487,-0.4391713,-0.2223718
2024-10-28,JPM,1.001769,1.169419,0.2846346
2024-10-28,TSLA,2.606777,-1.438349,-1.868361
2024-10-28,XOM,0.6156619,0.7031193,-0.3901907
2024-10-29,AAPL,0.9493528,-0.4254449,-0.2261269
2024-10-29,JPM,1.003928,1.17656,0.2839948
2024-10-29,TSLA,2.638358,-1.369967,-1.884745
2024-10-29,XOM,0.6226989,0.7173347,-0.3943414
2024-10-30,AAPL,0.9475493,-0.4462232,-0.2249177
2024-10-30,JPM,1.004996,1.181241,0.287245
2024-10-30,TSLA,2.635102,-1.370142,-1.890484
2024-10-30,XOM,0.6222116,0.6992673,-0.3896073
2024-10-31,AAPL,0.9494684,-0.4473575,-0.2200877
2024-10-31,JPM,1.006416,1.185048,0.2797531
2024-10-31,TSLA,2.626969,-1.373304,-1.888259
2024-10-31,XOM,0.6133968,0.6962739,-0.3915954
2024-11-01,AAPL,0.9585064,-0.3580486,-0.1791511
2024-11-01,JPM,1.001798,1.132527,0.2542066
2024-11-01,TSLA,2.640421,-1.240814,-1.827709
2024-11-01,XOM,0.6190378,0.7359881,-0.3757591
2024-11-04,AAPL,0.965919,-0.3462509,-0.1764179
2024-11-04,JPM,1.008285,1.142466,0.2566085
2024-11-04,TSLA,2.698068,-1.151919,-1.797082
2024-11-04,XOM,0.5438054,0.6226964,-0.4116535
2024-11-05,AAPL,0.9605859,-0.3482815,-0.1855059
2024-11-05,JPM,1.001859,1.139117,0.2457049
2024-11-05,TSLA,2.717683,-1.138382,-1.762113
2024-11-05,XOM,0.5446797,0.6221805,-0.4083925
2024-11-06,AAPL,0.9023826,-0.4652295,-0.2324528
2024-11-06,JPM,1.176824,1.491674,0.3851039
2024-11-06,TSLA,3.248172,-0.06721254,-1.336687
2024-11-06,XOM,0.4952154,0.5233818,-0.4463079
2024-11-07,AAPL,0.9046065,-0.4825625,-0.2374181
2024-11-07,JPM,1.169867,1.555512,0.399787
2024-11-07,TSLA,3.248126,-0.104189,-1.339709
2024-11-07,XOM,0.5010999,0.4600314,-0.4599684
2024-11-08,AAPL,0.9087458,-0.4793715,-0.2516195
2024-11-08,JPM,1.168346,1.554292,0.4034612
2024-11-08,TSLA,3.149018,-0.1601981,-1.104313
2024-11-08,XOM,0.4941079,0.4565032,-0.4465121
2024-11-11,AAPL,0.8977069,-0.4886252,-0.2229093
2024-11-11,JPM,1.165711,1.551887,0.4095007
2024-11-11,TSLA,3.209556,-0.1063857,-1.267743
2024-11-11,XOM,0.4829952,0.4467086,-0.4154969
2024-11-12,AAPL,0.898618,-0.4845085,-0.2212806
2024-11-12,JPM,1.167901,1.550192,0.4045709
2024-11-12,TSLA,3.20003,-0.1637746,-1.299851
2024-11-12,XOM,0.4857505,0.445033,-0.4210947
