qdate,gross,fees,traded,sold,trades
8313,1668.52,676.08,44814408.39,22408038.45,1254
8314,1575.24,594.10,39159369.20,19580472.22,1198
8315,5240.46,653.60,43217145.12,21611192.79,1289
8318,4106.27,654.79,43165815.15,21584960.71,1273
8319,-3315.97,712.74,47018720.04,23507702.03,1308
8320,-6168.12,597.65,39261897.69,19627864.78,1279
8321,9811.61,706.26,46593054.32,23301432.96,1338
8322,8025.46,662.01,43587923.17,21797974.31,1291
8325,6001.72,715.28,47445483.62,23725742.67,1297
8326,8522.50,702.78,46470630.47,23239576.48,1303
8327,2455.40,630.93,41811019.85,20906737.62,1252
8328,4338.74,629.54,41462458.03,20733398.38,1269
8329,5896.14,668.14,43903620.77,21954758.45,1268
8332,4300.52,692.84,46154528.21,23079414.36,1260
8333,2887.93,639.30,42468319.51,21235603.72,1269
8334,2780.19,697.75,46239841.56,23121310.87,1283
8335,-305.68,675.14,44933929.68,22466812.00,1277
8336,-32.81,647.31,42961238.27,21480602.73,1275
8339,-664.06,630.61,41875520.83,20937428.38,1245
8340,-3180.55,646.87,42973708.54,21485263.99,1255
8341,489.40,677.83,44875367.13,22437928.27,1264
8342,860.65,692.45,45799087.97,22899974.31,1312
8343,657.84,671.03,44415210.96,22207934.40,1288
8346,-4918.85,621.14,41125437.39,20560259.27,1301
8347,-2292.55,662.55,43798636.71,21898172.08,1264
8348,2104.13,646.13,42670209.48,21336156.80,1249
8349,-3619.22,658.22,43842629.48,21919505.13,1279
8350,-13143.14,653.45,43485113.04,21735984.95,1312
8353,4696.09,630.74,42008857.77,21006776.93,1258
8354,4111.41,663.16,44129378.66,22066745.04,1292
8355,-2418.02,642.31,42843285.33,21420433.66,1277
8356,1200.29,671.43,44719620.57,22360410.43,1281
8357,3507.90,681.23,45370750.15,22687129.03,1261
8360,-6146.89,642.82,42615340.31,21304596.71,1213
8361,750.10,612.91,40784738.59,20392744.34,1229
8362,-2537.60,637.84,42329748.81,21163605.60,1246
8364,4148.91,318.53,21193671.08,10547597.80,623
8367,6547.92,676.77,44894932.67,22450740.30,1260
8368,1660.65,651.64,43542073.88,21771867.27,1235
8369,-9497.16,665.41,44164368.53,22077435.69,1263
8370,8914.86,689.68,46024802.71,23016858.79,1307
8371,5287.06,696.09,46600297.38,23302792.22,1285
8374,1456.87,670.92,44751359.34,22376408.11,1272
8375,6052.28,663.75,44100397.85,22053225.07,1256
8376,6903.43,654.23,43674925.04,21840914.24,1239
8377,-3044.73,650.80,43378454.65,21687704.97,1274
8378,-1481.32,636.22,42490951.76,21244735.22,1251
8381,6853.15,681.19,45305557.77,22656205.46,1264
8382,9748.29,706.66,47140827.14,23575287.72,1374
8383,6291.77,671.67,44837458.29,22421875.03,1256
8384,5157.99,660.18,43770464.76,21887811.37,1287
8385,5891.89,687.49,45574833.22,22790362.56,1305
8388,1546.33,672.61,44502139.17,22251842.75,1307
8389,9009.54,681.21,45213878.93,22611444.24,1252
8390,914.31,707.98,46585661.86,23293288.09,1272
8391,235.44,723.22,47973519.07,23986877.25,1274
8392,14284.07,659.50,43561816.14,21788050.11,1237
8396,7168.69,703.30,46387107.02,23197137.85,1235
8397,9111.83,675.75,44528807.14,22268959.48,1266
8398,2278.55,640.46,42396369.77,21199324.16,1206
8399,4390.40,652.90,43264832.89,21634611.65,1219
8410,-5218.85,552.17,36781089.46,18387935.31,1194
8411,2217.78,621.44,41251682.49,20626950.13,1228
8412,7279.93,606.91,40279483.25,20143381.59,1247
8413,4359.95,607.96,40356343.08,20180351.52,1174
8417,3213.54,560.39,37332737.66,18667975.60,1215
8418,4457.58,583.16,38612253.95,19308355.76,1257
8419,4196.39,603.86,40238355.69,20121276.04,1210
8420,2156.48,587.31,39020598.32,19511377.40,1203
8423,-6019.52,551.02,36629404.72,18311692.60,1194
8424,8617.36,659.70,44011019.01,22009818.19,1248
8425,-1379.13,552.69,37045770.03,18522195.45,1211
8426,4622.38,596.61,39894939.78,19949781.08,1196
8427,-3067.23,623.84,41369526.73,20683229.75,1233
8430,2716.73,585.96,39207908.30,19605312.52,1225
8431,6458.80,623.41,41566357.07,20786407.94,1199
8432,-2246.78,565.61,37759540.19,18878646.71,1242
8433,-11650.70,581.40,38726886.37,19357617.83,1251
8434,-5012.13,633.72,42389290.23,21192139.05,1252
8437,6033.10,627.50,41922035.38,20964034.24,1222
8438,9321.32,630.19,42122991.24,21066156.28,1275
