qdate,gross,fees,traded,sold,trades
8006,2649.38,277.87,18693259.38,9347954.38,461
8007,2810.58,327.38,21995085.31,10998947.95,492
8010,1398.54,306.93,20738014.02,10369706.28,477
8011,-3698.56,315.03,21369281.21,10682791.32,492
8012,178.84,322.32,21877870.16,10939024.50,475
8013,-2950.08,300.08,20311599.44,10154324.67,475
8014,-985.34,305.71,20718973.94,10358994.30,480
8017,1.58,325.19,21956591.92,10978296.75,463
8018,2851.83,306.56,20647116.77,10324984.30,502
8019,-14325.99,301.49,20394975.62,10190324.82,480
8020,-3829.27,320.83,21727827.49,10861999.11,501
8021,1486.67,280.21,18922721.05,9462103.86,454
8024,5521.17,303.60,20499398.81,10252459.98,465
8025,-149.40,278.32,18785568.93,9392709.77,486
8026,706.24,289.49,19555904.56,9778305.40,426
8027,1641.02,318.96,21535821.23,10768731.12,426
8031,5000.37,299.30,20168891.34,10086945.85,416
8032,4066.23,299.05,20169265.20,10086665.72,430
8033,5816.48,316.15,21360180.32,10682998.40,420
8034,3664.22,291.78,19708458.64,9856061.42,441
8035,999.95,280.70,18969868.29,9485434.12,411
8045,-1547.83,322.30,21787231.21,10892841.69,485
8046,317.65,299.41,20334345.26,10167331.46,456
8047,5070.84,328.13,22292100.93,11148585.88,453
8048,371.05,310.15,20939400.61,10469885.83,454
8049,200.52,305.24,20744011.35,10372105.93,475
8053,2348.13,350.40,23780083.38,11891215.75,475
8054,-6461.04,331.39,22264142.16,11128840.56,476
8055,-2418.14,331.84,22320335.98,11158958.92,479
8056,8382.77,326.67,22000900.17,11004641.47,474
8059,438.49,201.93,13752147.14,6816310.37,467
8060,-1790.84,319.99,21630152.52,10814180.84,487
8061,10481.50,335.56,22584056.66,11323469.42,492
8062,2102.43,337.61,22594927.94,11298515.19,487
8063,-1084.97,382.90,25704822.96,12851869.00,495
8066,-566.35,335.02,22619146.24,11309289.94,493
8067,-1682.40,312.90,20953897.60,10476107.60,462
8068,-5445.64,367.98,24846290.04,12420422.20,464
8069,-12046.41,313.96,21371587.79,10679770.69,484
8070,-244.74,340.90,22975354.55,11487554.90,497
8073,-2943.59,377.95,25503549.38,12750302.90,472
8074,7050.00,325.96,22127482.39,11067266.19,470
8075,3849.78,323.73,21789859.63,10896854.71,469
8076,2458.85,303.62,20534179.36,10268319.11,483
8077,-14728.77,350.27,23750601.59,11867936.41,500
8080,-48.04,366.98,24677521.49,12338736.73,485
8081,1513.15,290.63,19607916.19,9804714.67,492
8082,-3845.70,326.60,21934512.11,10965333.21,494
8083,-2239.57,357.09,23905351.31,11951555.87,461
8084,-5567.12,277.57,18625483.18,9309958.03,462
8088,-451.67,303.61,20487844.33,10243696.33,479
8089,3015.69,330.83,22351767.90,11177391.80,492
8090,-12093.50,267.69,18026719.92,9007313.21,502
8091,-63.79,367.27,24795531.61,12397733.92,489
8094,2902.11,336.43,22643906.66,11323404.38,502
8095,-591.43,352.43,23743968.96,11871688.76,470
8096,-1388.15,324.25,21910942.51,10954777.18,477
8097,-1934.70,347.07,23283527.82,11640796.56,478
8098,-13061.90,371.46,25144135.86,12565536.98,496
8101,-7486.15,347.35,23465011.14,11728762.49,504
8102,0.00,0.00,0.00,0.00,0
8103,-1986.78,327.34,22025217.99,11011615.60,498
8104,2080.06,352.51,23699626.36,11850853.21,487
8105,-4534.56,326.65,21953045.02,10974255.23,488
8108,2269.67,323.60,21838267.86,10920268.76,510
8109,3792.77,356.20,24061074.88,12032433.82,499
8110,8969.42,361.30,24299712.49,12154340.96,476
8111,4214.53,333.07,22489686.67,11246950.60,479
8112,-1853.89,331.19,22240312.18,11119229.14,488
8115,2513.78,330.59,22264825.35,11133669.56,473
8116,-3112.94,358.75,24271210.75,12134048.91,495
8117,-5747.79,323.06,21758624.79,10876438.49,514
8118,-1337.90,336.63,22631893.11,11315277.61,476
8119,6803.26,338.93,22828689.16,11417746.21,461
8122,8029.50,322.16,21739959.35,10873994.43,460
8123,-1353.37,347.94,23548403.66,11773525.15,475
8124,2981.75,327.18,22184727.58,11093854.67,478
8125,1865.90,355.15,24067244.09,12034555.00,467
8126,-2594.20,385.91,25957474.02,12977439.91,477
8129,4286.94,353.37,23758377.09,11881332.02,470
8130,3482.47,319.30,21578859.29,10791170.87,446
8131,3230.90,363.17,24503505.78,12253368.35,474
8132,-2758.60,356.59,24157548.66,12077395.03,469
8133,5005.36,353.02,23800275.15,11902640.26,477
8136,5556.37,287.82,19354598.83,9680077.61,469
8137,7393.58,350.28,23676576.03,11841984.81,473
8138,141.13,353.38,23837033.53,11918587.33,480
8139,1488.78,329.83,22252942.12,11127215.45,466
8143,1432.37,280.18,18864876.95,9433154.66,463
8144,-8581.41,353.17,23605130.41,11798274.50,480
8145,-4536.53,348.24,23411798.87,11703631.17,464
8146,-2038.33,354.28,23973240.92,11985601.30,482
8147,6481.71,312.00,20903150.36,10454816.03,473
8150,3375.92,346.64,22970117.81,11486746.87,471
8151,3267.23,312.00,20890968.81,10447118.02,494
8152,7756.82,378.49,25341185.69,12674471.25,467
8153,1182.78,348.10,23171211.23,11586197.00,484
8154,7468.55,324.46,21557659.56,10782564.05,489
8157,1659.56,302.90,20218022.42,10109840.99,501
8158,-7301.99,328.18,21836068.05,10914383.03,494
8159,393.82,337.31,22414004.15,11207198.99,493
8160,2331.27,324.91,21828317.84,10915324.55,502
8161,2875.05,348.58,23450098.26,11726486.66,464
8164,-2072.12,340.11,22697233.48,11347580.67,506
8165,2812.35,336.27,22341520.04,11172166.19,499
8166,-5224.28,340.75,22842590.64,11418683.18,486
8167,-2193.18,335.87,22471361.44,11234584.13,483
8168,-3497.43,348.68,23164297.96,11580400.26,488
8171,5078.71,368.46,24734500.07,12369789.39,485
8172,7059.22,358.05,23844470.53,11925764.88,494
8173,-13993.95,260.02,17398125.29,8692065.67,506
8174,4934.27,318.01,21119582.43,10562258.35,488
8175,-3863.42,372.45,24727838.54,12361987.56,505
8178,1531.35,296.48,19967413.41,9984472.38,463
8179,1494.78,362.43,24074762.66,12038128.72,472
8180,-3203.24,283.89,19033984.48,9515390.61,476
8181,1303.91,312.07,20712273.72,10356788.82,491
8182,8958.75,350.55,23525152.78,11767055.76,468
8186,8633.06,349.92,23052387.14,11530510.10,463
8187,1088.57,371.51,24779424.93,12390256.75,485
8188,-12424.80,356.18,23783961.19,11885768.19,491
8189,6291.03,342.98,22774945.24,11390618.14,465
8192,25.61,334.52,22230360.85,11115193.23,495
8193,1037.65,351.16,23431141.56,11716089.60,484
8194,1700.31,327.77,21994559.81,10998130.06,475
8195,-606.07,322.03,21473727.62,10736560.78,469
8196,6125.15,348.59,23151083.21,11578604.18,476
8199,-3995.92,301.83,20012893.08,10004448.58,510
8200,-9733.27,321.93,21413348.78,10701807.76,504
8201,4796.10,338.30,22437368.31,11221082.21,471
