qdate,gross,fees,traded,sold,trades
8389,9517.62,681.22,45214304.17,22611910.89,1252
8390,1541.45,707.99,46585274.61,23293408.03,1272
8391,-829.30,723.19,47972611.50,23985891.10,1274
8392,10585.85,659.44,43560937.69,21785761.77,1237
8396,4822.15,703.26,46386581.75,23195701.96,1235
8397,6018.25,675.67,44525669.84,22265844.05,1266
8398,1301.51,640.44,42395708.61,21198505.06,1206
8399,2972.01,652.84,43262002.10,21632487.05,1219
8410,-4782.73,552.19,36781645.57,18388431.42,1194
8411,3369.45,621.46,41251701.46,20627535.45,1228
8412,4781.40,606.92,40283360.99,20144071.19,1247
8413,3628.79,607.94,40355766.89,20179697.84,1174
8417,3698.79,560.41,37334075.96,18668887.37,1215
8418,4615.24,583.13,38609706.88,19307161.06,1257
8419,1916.74,603.81,40237292.11,20119604.42,1210
8420,1763.67,587.33,39021858.18,19511810.92,1203
8423,-7076.35,550.99,36628330.03,18310626.84,1194
8424,6214.93,659.68,44011553.09,22008884.02,1248
8425,-3591.84,552.63,37044197.69,18520302.93,1211
8426,3076.60,596.60,39895316.24,19949196.42,1196
8427,-3025.67,623.81,41367180.20,20682077.27,1233
8430,1970.10,585.94,39206639.82,19604304.97,1225
8431,5014.67,623.40,41567134.27,20786074.48,1199
8432,-3456.76,565.61,37760200.10,18878371.67,1242
8433,-11491.31,581.37,38725002.91,19356755.80,1251
8434,-4703.61,633.75,42391038.93,21193167.66,1252
